J0    = 0.1008192
J1    = 0.06998909
J2    = 0.05328701
J3    = 0.04474406
J4    = 0.04042726
J5    = 0.03816016
J6    = 0.03505078
J7    = 0.03230364
J8    = 0.0299717
J9    = 0.02731956
J10   = 0.02550746
J11   = 0.02313443
J12   = 0.02166117
J13   = 0.01961274
J14   = 0.01837261
J15   = 0.01664035
J16   = 0.01557152
J17   = 0.01412618
J18   = 0.01319069
J19   = 0.01199667
J20   = 0.01116959
J21   = 0.01019144
J22   = 0.009455731
J23   = 0.008660276
J24   = 0.008012172
J25   = 0.007361121
J26   = 0.006796989
J27   = 0.00625855
J28   = 0.00577182
J29   = 0.005322646
J30   = 0.004904516
J31   = 0.004548009
J32   = 0.004206659
J33   = 0.003916865
J34   = 0.003655759
J35   = 0.003419627
J36   = 0.003213429
J37   = 0.003046239
J38   = 0.002877035
J39   = 0.002754144
J40   = 0.002625838
J41   = 0.00252396
J42   = 0.002432628
J43   = 0.002348473
J44   = 0.002274484
J45   = 0.002207246
J46   = 0.002140725
J47   = 0.002088463
J48   = 0.002027291
J49   = 0.001991962
J50   = 0.001928785
J51   = 0.001905151
J52   = 0.001847402
J53   = 0.001830659
J54   = 0.001779238
J55   = 0.001762902
J56   = 0.001719486
J57   = 0.001699761
J58   = 0.00166321
J59   = 0.001641403
J60   = 0.001614259
J61   = 0.001590343
J62   = 0.001567597
J63   = 0.001546285
J64   = 0.001522989
J65   = 0.001505796
J66   = 0.001481203
J67   = 0.001467074
J68   = 0.0014429
J69   = 0.001430637
J70   = 0.001408674
J71   = 0.001396893
J72   = 0.001377149
J73   = 0.001366927
J74   = 0.001347995
J75   = 0.001339184
J76   = 0.001321755
J77   = 0.001312875
J78   = 0.001297071
J79   = 0.001288419
J80   = 0.001273559
J81   = 0.001264979
J82   = 0.001250814
J83   = 0.001242776
J84   = 0.001230117
J85   = 0.001221113
J86   = 0.00121008
J87   = 0.001200537
J88   = 0.001190931
J89   = 0.001181418
J90   = 0.001172257
J91   = 0.001163241
J92   = 0.001154324
J93   = 0.001145387
J94   = 0.001136906
J95   = 0.001127971
J96   = 0.001119794
J97   = 0.001111321
J98   = 0.001103432
J99   = 0.001095018
J100  = 0.001087529
J101  = 0.001079307
J102  = 0.001071879
J103  = 0.001063839
J104  = 0.001056738
J105  = 0.001048785
J106  = 0.001042249
J107  = 0.001034229
J108  = 0.00102798
J109  = 0.001020337
J110  = 0.001013928
J111  = 0.001007082
J112  = 0.001000448
J113  = 0.0009940394
J114  = 0.0009875028
